real,forecast
3359.49,2921.2068334147334
3391.16,2916.5228360630435
3469.6,2915.5673784641913
3510.5,2902.566033696704
3576.02,2949.510405082675
3587.08,2951.339460081883
3640.1,2949.6606488861817
3692.57,2937.540784120325
3680.95,2991.9816113447396
3641.94,2992.814818641875
3686.13,2991.102874243809
3710.61,2979.364149608309
3822.99,3034.509966388452
3748.34,3035.8070976092235
3827.69,3034.656326483998
3803.38,3021.9557209570676
3899.42,3081.099550295884
3976.53,3083.7816778597553
4006.13,3078.860572389467
3947.49,3066.7283975066157
4072.72,3132.031812648698
4125.78,3134.48292465908
4135.65,3129.396521304852
4055.92,3117.9509208865074
4254.72,3188.0559232790047
4301.35,3189.5409742046995
4212.19,3188.503111180443
4304.6,3173.572315984469
4414.49,3250.97543650868
4355.95,3251.482570497379
4441.93,3249.383655787482
4527.64,3235.371580784162
4446.12,3323.8378874067234
4483.01,3318.9514771236104
4441.34,3316.3910264421106
4479.85,3303.556268133001
4311.64,3389.256498522719
4197.9,3384.4119026272424
4152.98,3382.5341168720042
4231.27,3369.603454817224
4342.37,3437.7678564064036
4402.38,3439.895342635881
4372.82,3438.114149371256
4366.82,3425.9347753490792
4277.9,3502.099689509538
4285.78,3501.350736825906
4434.98,3495.6170504144557
4456.44,3484.817678720625
4584.98,3564.4205643368578
4660.08,3560.1432445047303
4854.85,3559.0096689272227
4932.85,3544.4989828771595
4943.74,3634.766516451361
4603.47,3628.918698081132
4633.1,3626.6519731017866
4844.7,3615.9937723781813
4924.38,3699.4651529163502
4912.95,3694.9093739456557
5016.09,3692.959449024533
5045.69,3680.6160001921926
5145.98,3766.8358248359746
5049.2,3760.8197411637375
5101.44,3758.789556687877
5143.34,3745.9495570383056
5174.42,3838.1406284628565
5004.41,3834.0666620728007
4890.55,3826.9461475184435
4942.52,3816.8678619518796
4689.93,3890.3541498168966
4471.61,3895.0017534434483
4604.58,3893.571853647229
4711.76,3878.312965840706
4399.93,3939.3861806718764
4289.77,3944.1490775303005
4006.75,3942.7346161620103
4214.15,3927.678826774107
4058.62,3970.590870026669
3793.71,3976.9059342450937
3975.21,3974.736885514947
3654.78,3959.586296842739
3467.4,3986.768236906264
3432.45,3992.8460720554503
3707.46,3990.7740267715653
3918.99,3976.220897771732
3958.37,3999.205202090263
3874.97,4004.2873532262797
3758.51,4002.0777437513457
3831.42,3988.117679780801
3948.42,4019.090795258935
3939.9,4025.5682463805333
3996.43,4018.3851835666183
4022.27,4007.662701374824
4124.76,4038.549451733873
3985.57,4043.8289806650964
3573.14,4042.6363822839767
3689.83,4026.665257084279
3773.79,4056.187516575025
3655.67,4062.0598797581506
3614.99,4059.725687176087
3621.86,4045.1876030910025
3745.65,4070.5742572538156
3625.5,4076.276646503886
3692.61,4074.584682535947
3786.03,4060.4306483819
3928.81,4088.9046999193606
3881.23,4093.5983562186584
3869.91,4091.7817369325694
3976.41,4078.756227063047
3947.84,4110.281138109207
3999.13,4115.87273393157
3646.8,4109.900141145991
3754.57,4100.3484107646
3609.96,4126.504127339168
3373.48,4131.42847840674
3004.13,4130.514665933151
2980.79,4113.453106288285
2978.03,4125.407005788593
3125.26,4130.514818406389
3203.56,4128.404686095305
3157.83,4107.657785678883
3027.68,4117.240944192203
3149.38,4123.09226137742
3054.44,4121.796056771747
3182.55,4099.001103011108
3190.55,4092.513390537177
3189.48,4098.401050028806
3221.17,4097.0157915176205
3043.81,4073.080981158395
2998.04,4067.4701306989346
3131.98,4072.8793250172193
3100.28,4071.1377773523013
3072.09,4047.54604940132
3161.32,4054.1351386525516
3137.72,4058.800813799371
3126.49,4056.493972656398
3130.85,4033.744235172983
3085.57,4039.151235799536
3055.22,4044.1293351050826
3052.84,4036.685078535852
3156.08,4017.79512508286
3146.64,4019.639835446801
3193.54,4024.501214535704
3262.16,4023.6169427954246
3280.02,3997.9807776169337
3255.03,4000.0160906849387
3358.3,4003.671291209729
3401.63,4001.6412881393608
3377.55,3986.9470434468985
3428.56,3978.8674013144337
3292.29,3981.818315602375
3377.55,3979.4422418087424
3448.65,3955.558715153309
3409.14,3953.76158804483
3417.01,3956.3159282787437
3387.77,3953.565483687783
3380.28,3930.273917529884
3337.58,3924.918869479391
3330.32,3928.619684045892
3325.62,3923.8862811375625
3459.22,3900.823562622133
3514.44,3888.665312489364
3588.5,3893.475350442632
3617.4,3892.4852098912233
3635.0,3866.667232661813
3656.82,3866.109626108186
3600.76,3868.0722551103513
3522.46,3865.974857585657
3629.98,3842.073784900783
3605.06,3843.1347300672846
3573.78,3845.8030781334155
3620.79,3843.517956246093
3630.87,3819.9336253181973
3602.89,3820.6211161935908
3614.07,3822.2940099710886
3659.57,3819.7419347909563
3616.54,3797.1552447456443
3433.85,3799.0635110039534
3442.44,3794.4477401112144
3450.28,3790.7770306154334
3525.73,3769.76498216263
3558.15,3751.654076169023
3529.81,3749.1431922605343
3518.65,3748.2316675890224
3462.58,3735.5408821541896
3469.81,3705.7426715635015
3695.57,3705.000365528233
3695.57,3703.415360634714
3695.57,3692.666944493345
3695.57,3661.000477167853
3695.57,3656.7425557914203
3695.57,3655.9288269437457
3695.57,3644.1566908726386
123.0,3611.2660053680365
4567.0,3607.8133019157854
127.0,3607.1364757615956
4567.0,3598.571660114175
127.0,3545.3762492431024
4567.0,3540.175794683463
4567.0,3539.2567753441517
4567.0,3522.379679274526
4567.0,3516.58725782236
4567.0,3511.2128545947044
4567.0,3509.857530948536
4567.0,3492.286597760396
4567.0,3535.202072943612
4567.0,3529.6072336193947
4567.0,3528.264890364899
4567.0,3509.670344000852
4567.0,3566.394865072799
4567.0,3560.4952813325094
4567.0,3559.123966019826
4567.0,3539.718453498688
4567.0,3589.989438807808
4567.0,3583.9104775817236
4567.0,3582.507572290031
4567.0,3560.48708022572
4567.0,3613.357581200209
4567.0,3607.1181644216995
127.0,3605.695732966722
4567.0,3584.548530165368
4567.0,3599.546190985816
4567.0,3592.2539514650043
4567.0,3591.034116224925
4567.0,3569.4605166960396
4567.0,3629.6581302372942
4567.0,3622.1634927592595
3695.57,3620.5081308982594
3695.57,3597.629001137641
3695.57,3635.8840668352123
3695.57,3637.656887680489
3695.57,3636.136345045676
3695.57,3612.197663109082
3695.57,3635.1728934002667
3695.57,3633.465183285579
3695.57,3631.992988648034
3695.57,3606.913201509835
3695.57,3626.5459358382036
3695.57,3625.2845519755065
3695.57,3623.819225693618
3695.57,3598.96565531488
3695.57,3628.9876185252233
3695.57,3628.3821236670424
3695.57,3626.954421129099
3695.57,3602.8302916730822
3695.57,3648.853413636417
3695.57,3649.426526058723
3695.57,3647.9937450029574
3695.57,3622.744505004367
3695.57,3666.245594481221
3695.57,3666.975062929205
3695.57,3665.5623644465036
3695.57,3641.660425778244
3695.57,3681.4256487537477
3695.57,3683.9131253361643
3695.57,3682.5030312167864
3695.57,3656.656588861122
3695.57,3700.9644327045426
3695.57,3707.9400592697175
3695.57,3709.065762726088
3695.57,3727.29676107291
3695.57,3719.5244889349547
3695.57,3725.8819383117516
4567.0,3727.0183947848054
4567.0,3745.37065009873
4567.0,3760.9707937892413
4567.0,3753.5809510927993
4567.0,3752.1745947222603
123.0,3718.058726692596
985.0,3743.8468371307945
4567.0,3764.771222979523
4567.0,3764.446517416351
4567.0,3727.9039223211776
4567.0,3790.3102916168646
127.0,3781.938579206224
4567.0,3780.3391328617745
4567.0,3732.5270475240377
4567.0,3796.850373668248
4567.0,3787.58694002421
4567.0,3785.9385744387137
4567.0,3737.2348281878076
4567.0,3834.1673092482324
4567.0,3824.7664536315096
4567.0,3822.917508675678
4567.0,3778.755817467889
4567.0,3872.3766067082497
4567.0,3863.4230498991164
55.0,3861.600411365702
55.0,3819.987501998023
55.0,3803.4582937173013
55.0,3828.3030050668244
55.0,3829.1723061868324
55.0,3776.6053842873307
55.0,3703.8514693060283
55.0,3725.6708491739864
55.0,3728.267559653176
55.0,3654.2910660485927
55.0,3601.196041089858
55.0,3620.825902861213
55.0,3623.572421541162
55.0,3548.0186295759186
55.0,3493.4375141563173
55.0,3514.5829709231957
55.0,3517.2614912795716
55.0,3434.563421747416
2000.516582404845,3388.089194883762
2406.0,3410.1556012175015
2455.0,3412.8844734396607
3748.0,3326.379185126225
2742.0,3416.6069938649725
3682.0,3392.264142325534
3881.0,3389.5893258126202
4337.0,3298.2888617064336
3249.0,3419.764619540306
4764.0,3397.3053544268496
55.0,3393.9401664444076
55.0,3301.896946110748
55.0,3297.184166792097
55.0,3335.7560897230483
55.0,3338.585138612221
4756.0,3249.2406057836656
3695.57,3306.9257034684106
3695.57,3293.7949990998877
4896.0,3291.8223477061856
4743.0,3195.461418321035
3253.0,3358.362032927689
3027.0,3353.1048142270956
3963.0,3349.365934288797
3350.0,3254.703092101022
4320.0,3330.4362915290217
4713.0,3313.897978452424
4450.0,3310.5483676345057
3887.0,3213.7694143993276
3945.0,3312.6756231578097
4884.0,3308.725662775232
4153.0,3307.370180741257
4844.0,3325.238490721953
3673.0,3310.4884881576945
3987.0,3302.113216326087
3552.0,3298.174452938687
3819.0,3201.93295356431
4546.0,3269.3812300955046
3625.0,3274.339406957093
3724.0,3270.875630817918
3956.0,3176.6117638040596
3452.0,3248.844082079545
3437.0,3253.9755420440342
4001.0,3250.539100455323
4675.0,3156.9187140306544
3740.0,3259.496479726234
4137.0,3266.095095195359
3322.0,3262.443124270611
3536.0,3170.9469459019506
3305.0,3235.585082869435
3664.0,3245.23475922311
4402.0,3246.921217196872
3243.0,3283.309539407954
4501.0,3242.300904201111
3704.0,3243.2925567689317
3559.0,3245.222938834904
3752.0,3282.0936816871463
3048.0,3245.5262439294847
4092.0,3249.128009054155
3938.0,3251.072846847521
3899.0,3288.1044778362934
4695.0,3249.28775410816
3301.0,3250.433244760003
3491.0,3252.4492348363083
4249.0,3289.900783398194
4228.0,3262.6125856214016
3627.0,3247.830875273072
4844.0,3245.667762207759
4247.0,3170.8936763346437
4991.0,3277.9071743339373
3232.0,3264.735273405609
4305.0,3261.7019152389803
4409.0,3177.580200693592
4013.0,3274.659916934508
3894.0,3282.2952920685475
3915.0,3279.0349691127867
4212.0,3192.6042867824926
3956.0,3282.883977080157
3875.0,3303.8456492499577
3669.0,3305.970425303531
3732.0,3344.1275764149555
3550.0,3285.319109618109
4171.0,3294.9578610353947
3916.0,3291.8540440883735
3153.0,3243.1992705577577
4640.0,3282.073148539192
4567.0,3294.8330306910702
4918.0,3291.9459227864663
4007.0,3248.674007571107
4732.0,3307.2815101871356
3279.0,3294.463347461442
3541.0,3291.1711831370203
3963.0,3241.216058775802
4953.0,3323.819451028904
3338.0,3334.045216957814
4266.0,3330.9621964130965
3365.0,3265.3335936386347
3995.0,3337.8151998328503
3473.0,3349.0379413721616
3558.0,3346.0445747606996
3525.0,3291.796292674055
3740.0,3308.1052841394817
3550.0,3318.8387517478277
3065.0,3315.9511119506474
4700.0,3252.3532233026226
3004.0,3287.616697895196
4297.0,3292.7677791556166
3108.0,3289.7698753152017
3464.0,3238.686728660813
4247.0,3245.9252831424524
3339.0,3256.740739661999
4853.0,3253.9355829973565
4621.0,3201.4284507354314
4645.0,3391.8679367843815
4200.0,3386.188235291531
4052.0,3383.3167133471898
3451.0,3339.5691615128553
